Ticket_No,Title,Description,Category,Priority,Department,Status,Resolution_Time_Hours,Arising_Date,Closing_Date,Sentiment_Label,Is_Resolved,Resolution_Speed,SLA_Status,Month,Year,Quarter,Weekday,Priority_Score,Description_Length,Word_Count
1352245450,Request for Update on Sales Presentation Materials,"Dear Customer Support, I am reaching out to request an update on the sales presentation materials. The software has undergone significant enhancements with new features t ... tomers. Please provide any necessary details.",Change,Medium,Sales and Pre-Sales,Closed,144.0,2025-07-18 00:25:22,2025-07-24 00:25:22,Urgent,True,Slow,Breached,July,2025,3,Friday,2,220,33
1352245451,Issue with Project Setup,Encountered an unexpected error while setting up the project. It might be due to insufficient user permissions. Steps taken: Restarted the application and cleared the cache.,Incident,Medium,Product Support,Closed,14.0,2023-03-03 22:07:03,2023-03-04 12:07:03,Satisfied,True,Fast,Within SLA,March,2023,1,Friday,2,173,26
1352245452,,Could you provide information on integrating SaaS GIMP with TYPO3?,Request,Medium,Customer Service,Closed,68.0,2024-11-02 03:11:45,2024-11-04 23:11:45,Neutral,True,Medium,Within SLA,November,2024,4,Saturday,2,66,10
1352245453,Improve Integration Features for Users,"Customer Support, requesting enhancements in integration capabilities for the SaaS platform, particularly for the products that are affected. These improvements would sig ... ty to fully utilize the platform's potential.",Change,Low,Product Support,Closed,42.0,2024-05-15 17:01:10,2024-05-17 11:01:10,Neutral,True,Medium,Within SLA,May,2024,2,Wednesday,1,220,30
1352245454,Exploring Tool Integration for Enhanced Workflow,I am keen on integrating various tools with our project management SaaS to boost our workflow and productivity. This integration would enable us to handle tasks more effi ... customized to fit our specific requirements?,Change,High,Service Outages and Maintenance,Closed,38.0,2025-07-26 20:04:33,2025-07-28 10:04:33,Satisfied,True,Medium,Within SLA,July,2025,3,Saturday,3,219,35
1352245455,Multiple Product Security Incidents Detected,"The company encountered recurrent security violations impacting various products, likely due to outdated software or configuration mistakes. Initial troubleshooting invol ... ivirus updates, but issues remain unresolved.",Incident,High,Technical Support,Resolved,61.0,2024-01-24 22:23:31,2024-01-27 11:23:31,Neutral,True,Medium,Within SLA,January,2024,1,Wednesday,3,220,27
1352245456,Request for Support on API Integration,Is it possible to get details on the API's capabilities for integrating with project management tools? I am interested in learning about the existing compatibility and integrations.,Request,Low,Technical Support,Closed,100.0,2023-02-10 04:18:47,2023-02-14 08:18:47,Urgent,True,Slow,Breached,February,2023,1,Friday,1,181,27
1352245457,Problem with Data Accuracy After Recent System Changes,Noticing inconsistencies in the data analytics reports impacting our investment strategies following the latest system updates.,Problem,High,Technical Support,In Progress,0.0,2023-05-22 20:54:47,,Neutral,False,Unresolved,Within SLA,May,2023,2,Monday,3,127,16
1352245458,Unusual Billing Discrepancy Issue,"Experienced an unexpected billing discrepancy, which might be due to a system error.",Incident,Medium,Billing and Payments,In Progress,0.0,2023-12-22 14:55:14,,Satisfied,False,Unresolved,Within SLA,December,2023,4,Friday,2,84,13
1352245459,Issue with Access to SaaS Functionality,Noted a sudden failure in accessing essential SaaS features. This might be due to a server overload or configuration issue. Steps taken include attempting to restart the affected applications.,Incident,Medium,Human Resources,Closed,157.0,2025-11-13 11:39:54,2025-11-20 00:39:54,Urgent,True,Slow,Breached,November,2025,4,Thursday,2,192,29
1352245460,Support for Data Analytics in Zoho Books,Looking to learn and integrate data analytics in Zoho Books to optimize investments. Could you provide some information on the topic and offer guidance or resources to get started?,Request,Medium,Customer Service,Resolved,146.0,2025-06-12 12:58:37,2025-06-18 14:58:37,Frustrated,True,Slow,Breached,June,2025,2,Thursday,2,180,29
1352245461,Query for Detailed Documentation on ActiveCampaign Integration,Contacting Customer Support to request detailed documentation for integrating the ActiveCampaign SaaS project management tool. Would like to know the step-by-step process ... ing back soon. Thank you for your assistance.,Request,High,IT Support,Closed,165.0,2025-07-01 01:31:45,2025-07-07 22:31:45,Frustrated,True,Slow,Breached,July,2025,3,Tuesday,3,220,31
1352245462,Request for Detailed Integration Guide for Google Keep,"Dear Customer Support Team, I am writing to request comprehensive documentation for integrating Google Keep into our project management SaaS platform. We believe that thi ... y additional information we need to consider.",Request,Medium,Technical Support,Resolved,94.0,2023-02-02 05:26:47,2023-02-06 03:26:47,Urgent,True,Slow,Breached,February,2023,1,Thursday,2,220,33
1352245463,Request for Assistance with Marketing Campaign Analytics Dashboard,"The marketing agency's campaign analytics dashboard is not displaying data correctly, possibly due to a recent system update. I have already tried refreshing the page and ... fix the problem. Thank you for your support.",Incident,Medium,Technical Support,Closed,79.0,2025-11-10 08:28:26,2025-11-13 15:28:26,Frustrated,True,Slow,Breached,November,2025,4,Monday,2,219,35
1352245464,,"Customer Support, I am reaching out to seek guidance on integrating Redis 6.2 SaaS to optimize project management performance. Could you please provide a step-by-step gui ... port. I look forward to your prompt response.",Request,Low,Returns and Exchanges,Pending,0.0,2024-02-23 16:05:57,,Neutral,False,Unresolved,Within SLA,February,2024,1,Friday,1,220,35
1352245465,Support for Integration Issues,"We are encountering integration problems with ActiveCampaign, Discord, and project management SaaS. This may be related to recent API updates. We have already verified AP ... . We need assistance to resolve this problem.",Problem,Medium,Human Resources,Closed,24.0,2025-06-14 04:02:41,2025-06-15 04:02:41,Neutral,True,Fast,Within SLA,June,2025,2,Saturday,2,220,34
1352245466,Request for Scalability Features Documentation,I am seeking detailed guidance and support for implementing scalability features on our project using the SaaS platform. Would it be possible to provide step-by-step inst ... I look forward to hearing back from you soon.,Request,High,Technical Support,Closed,149.0,2023-03-04 11:56:43,2023-03-10 16:56:43,Satisfied,True,Slow,Breached,March,2023,1,Saturday,3,220,36
1352245467,Sudden Disruption of Multiple Product Connections,"An update to the network configuration led to routing conflicts, impacting Switch, Android, and other devices. Attempts to revert the changes through reboots have been unsuccessful.",Incident,Medium,Service Outages and Maintenance,Closed,140.0,2023-09-30 03:35:01,2023-10-05 23:35:01,Urgent,True,Slow,Breached,September,2023,3,Saturday,2,181,26
1352245468,Support Request for Critical Issue,"Dear Customer Support Team, we are reporting a critical issue that has affected multiple products, involving software and hardware integrations. This issue has led to sys ... se let us know the next steps we should take.",Incident,High,Product Support,Closed,93.0,2024-12-31 21:32:31,2025-01-04 18:32:31,Satisfied,True,Slow,Breached,December,2024,4,Tuesday,3,220,37
1352245469,PostgreSQL Support Inquiry,"Seeking comprehensive details on PostgreSQL compatibility with ClickUp data integration, which would greatly assist in project planning. Appreciate your prompt assistance and look forward to your response soon.",Request,High,Technical Support,In Progress,0.0,2025-03-17 04:22:27,,Urgent,False,Unresolved,Within SLA,March,2025,1,Monday,3,210,28
1352245470,Enhancing Brand Growth with Squarespace,"Hello, I am keen on understanding digital strategies that can boost brand growth through Squarespace services. Could you kindly share some information or resources on this subject?",Request,Low,Customer Service,Closed,49.0,2025-10-09 02:02:03,2025-10-11 03:02:03,Satisfied,True,Medium,Within SLA,October,2025,4,Thursday,1,180,27
1352245471,Problem with Investment Analysis Data Discrepancy,Noted data inconsistency in investment analysis linked to integration problems. Efforts made include resynchronizing data sources and updating the software.,Problem,Medium,Technical Support,Closed,54.0,2024-11-17 23:30:25,2024-11-20 05:30:25,Neutral,True,Medium,Within SLA,November,2024,4,Sunday,2,156,20
1352245472,Investigation into Delays with Investment Tool,"Customer Support, in the process of documenting the issue with the investment optimization tool, have noticed a significant slowdown during peak usage times. This could b ... ovide a solution as soon as possible. Please.",Incident,High,Technical Support,Closed,128.0,2024-03-08 02:25:43,2024-03-13 10:25:43,Neutral,True,Slow,Breached,March,2024,1,Friday,3,220,35
1352245473,Discovery of Data Breach Involving Medical Records,"Underwent a data breach involving medical records due to unauthorized access, which may indicate inadequate encryption measures. Security software has been updated, and a ... ce is needed to ensure the system's security.",Problem,Medium,Technical Support,In Progress,0.0,2023-10-09 22:24:20,,Frustrated,False,Unresolved,Within SLA,October,2023,4,Monday,2,220,33
1352245474,Effective Strategies for Optimizing Investment Portfolios,Which tools are utilized to optimize investment portfolios?,Request,Medium,Technical Support,In Progress,0.0,2025-06-28 06:40:12,,Frustrated,False,Unresolved,Within SLA,June,2025,2,Saturday,2,59,8
1352245475,Urgent Support Needed for Drop in Social Media Engagement,"Hello Customer Support, I am currently facing an unexpected decline in social media engagement. Although I have checked the analytics and made adjustments to my posts, th ... this matter and eagerly await your feedback.",Incident,Low,Customer Service,Closed,158.0,2024-11-08 02:58:12,2024-11-14 16:58:12,Neutral,True,Slow,Breached,November,2024,4,Friday,1,219,35
1352245476,Urgent Assistance Required for Critical Error in Data Analysis,"A critical error has occurred during data analysis, leading to delays in investment optimization decisions. Incompatible software versions or data format issues could be ... esolve this matter and prevent future delays.",Incident,High,Technical Support,Closed,74.0,2025-09-13 02:29:22,2025-09-16 04:29:22,Neutral,True,Slow,Breached,September,2025,3,Saturday,3,219,32
1352245477,Users Facing Connectivity Challenges in Various Software Applications,"Dear Support Team, customers are encountering connectivity problems with several software tools used for collaborative projects. These issues might be related to recent s ... mation needed, please let me know. Thank you.",Incident,High,Technical Support,Closed,13.0,2025-02-02 20:51:59,2025-02-03 09:51:59,Urgent,True,Fast,Within SLA,February,2025,1,Sunday,3,220,33
1352245478,,require assistance in optimizing investments leveraging H2O.ai financial analytics tools,Request,Medium,Customer Service,Closed,41.0,2023-05-22 17:45:48,2023-05-24 10:45:48,Urgent,True,Medium,Within SLA,May,2023,2,Monday,2,88,10
1352245479,Request for Urgent Review of Billing Discrepancies,Encountered unexpected billing issues that are affecting the processing of payments across multiple products. These discrepancies may be due to recent software updates or ... information to facilitate the investigation.,Incident,High,Billing and Payments,Closed,108.0,2024-12-31 03:15:27,2025-01-04 15:15:27,Frustrated,True,Slow,Breached,December,2024,4,Tuesday,3,219,30
1352245480,Denial of Medical Records Access,"There has been an unexpected denial of access to medical records, which might be due to a potential issue with the firewall settings.",Problem,High,IT Support,Closed,154.0,2024-06-24 12:55:42,2024-06-30 22:55:42,Neutral,True,Slow,Breached,June,2024,2,Monday,3,133,23
1352245481,Support Request for Potential Data Breach,"A potential data breach has been detected in the healthcare provider's system, possibly due to an unauthorized access vulnerability.",Incident,Low,Human Resources,Closed,93.0,2024-09-26 08:19:13,2024-09-30 05:19:13,Urgent,True,Slow,Breached,September,2024,3,Thursday,1,132,19
1352245482,Concern About UniFi Dream Machine,"Customer Support, <br>A data access issue has been detected on the Ubiquiti UniFi Dream Machine, impacting medical hospital systems. It might have occurred due to softwar ... reciate your prompt attention to this matter.",Incident,Low,Technical Support,Closed,125.0,2024-06-01 18:38:15,2024-06-06 23:38:15,Frustrated,True,Slow,Breached,June,2024,2,Saturday,1,220,34
1352245483,Tool System Update Issues,Multiple software tools experiencing malfunctions,Incident,High,Product Support,Closed,20.0,2024-05-13 17:55:09,2024-05-14 13:55:09,Neutral,True,Fast,Within SLA,May,2024,2,Monday,3,49,5
1352245484,Report on SaaS Platform Outage,The SaaS platform encountered an unexpected outage that impacted user access. The issue is suspected to be due to server overload or a software bug. Restarting the server ... this issue as soon as possible is requested.,Problem,Medium,Customer Service,In Progress,0.0,2025-11-07 00:23:17,,Neutral,False,Unresolved,Within SLA,November,2025,4,Friday,2,219,37
1352245485,,We are encountering integration issues with GNU Compiler Collection 11.1 on the SaaS platform following recent updates that are impacting compatibility.,Incident,Medium,Technical Support,In Progress,0.0,2023-06-12 11:45:58,,Neutral,False,Unresolved,Within SLA,June,2023,2,Monday,2,152,21
1352245486,Request for Detailed Documentation on API Integration,Is it possible to provide extensive documentation on the API integration capabilities for our project management SaaS? I need to understand how to integrate the API into our existing system.,Request,Medium,Technical Support,Closed,43.0,2023-09-07 19:59:06,2023-09-09 14:59:06,Urgent,True,Medium,Within SLA,September,2023,3,Thursday,2,190,30
1352245487,Hospital Infrastructure Security Breach,"A security breach has been detected in the hospital's infrastructure, which is compromising the integrity of medical data. Despite updates to the software and enhancement ... he firewall protections, the issues continue.",Incident,Medium,Product Support,Closed,36.0,2024-05-27 07:58:18,2024-05-28 19:58:18,Frustrated,True,Medium,Within SLA,May,2024,2,Monday,2,220,32
1352245488,,"Customer Support, reporting an issue with the digital campaign platforms used by the marketing agency. Recently, there have been outages across several products, which we ... possible? We would appreciate your guidance.",Incident,High,Technical Support,Closed,76.0,2024-10-01 11:14:28,2024-10-04 15:14:28,Satisfied,True,Slow,Breached,October,2024,4,Tuesday,3,219,32
1352245489,Discovery of Unauthorized Access to Medical Data,"Dear Customer Support,\n\nI am reporting a serious incident involving unauthorized access to medical data at a healthcare facility. The investigation indicates that the b ... ur urgent assistance.\n\nSincerely,\n\n[Name]",Problem,High,Technical Support,Closed,8.0,2025-12-13 14:01:44,2025-12-13 22:01:44,Neutral,True,Fast,Within SLA,December,2025,4,Saturday,3,220,28
1352245490,Asking for Assistance with Digital Marketing,Digital marketing tactics not achieving anticipated brand expansion. Potential issue: inefficient targeting and outdated content methods. Already examined analytics and m ... vement. Require help to enhance brand growth.,Problem,Medium,Technical Support,Resolved,41.0,2025-02-08 16:25:26,2025-02-10 09:25:26,Frustrated,True,Medium,Within SLA,February,2025,1,Saturday,2,220,29
1352245491,Enhance Performance and Scalability for SaaS Project Management Platform; System Update Required,The SaaS project management platform needs an update to enhance its performance and scalability. This system update will improve the overall user experience and enable more efficient project management.,Change,High,Service Outages and Maintenance,Closed,86.0,2024-03-23 17:32:17,2024-03-27 07:32:17,Neutral,True,Slow,Breached,March,2024,1,Saturday,3,202,29
1352245492,Need Technical Assistance for Data Analytics Tool,"The data analytics tool experienced crashes during peak analysis periods, leading to workflow disruptions. The issue might be due to server overload or outdated software. ... es immediate assistance to resolve the issue.",Incident,High,Technical Support,In Progress,0.0,2025-10-26 06:54:16,,Urgent,False,Unresolved,Within SLA,October,2025,4,Sunday,3,220,33
1352245493,Assistance Needed for Malfunctioning Integrations,"Hello Customer Support, I am experiencing difficulties with several integrations that have stopped working all at once. It appears that the API key may have expired, as w ... and cooperation. I await your response soon.",Incident,Low,Customer Service,In Progress,0.0,2024-09-14 01:56:31,,Neutral,False,Unresolved,Within SLA,September,2024,3,Saturday,1,219,36
1352245494,,"Dear Customer Support, we are encountering issues with our data analytics tools, specifically with financial discrepancies in our investment predictions. We suspect these ... matter. Could you please offer some guidance?",Problem,Medium,Product Support,Resolved,132.0,2025-05-04 13:05:17,2025-05-10 01:05:17,Satisfied,True,Slow,Breached,May,2025,2,Sunday,2,220,31
1352245495,Problem with Crash in Project Management Tool,"Our SaaS project management tool is encountering unexpected crashes during data processing, which might be related to a conflict between PostgreSQL 13 and Kaspersky Inter ... timizing database queries resolved the issue.",Problem,Medium,IT Support,Closed,59.0,2023-02-27 00:10:05,2023-03-01 11:10:05,Frustrated,True,Medium,Within SLA,February,2023,1,Monday,2,220,32
1352245496,Security Incident: Potential Data Breach in Health Records,We have identified a potential data breach in our patient health records system. It's believed that a security flaw in a third-party application might be the cause. We ha ... rus scans and reviewed firewall logs to date.,Problem,Medium,Product Support,In Progress,0.0,2024-12-07 13:08:20,,Neutral,False,Unresolved,Within SLA,December,2024,4,Saturday,2,220,38
1352245497,Support Inquiry Regarding Website Analytics Tool,"The website analytics tool is showing current metrics, which is causing delays in adjusting the campaign. This might be due to API integration issues. Attempts to reconne ... minimize any impact on campaign performance.",Incident,Medium,IT Support,Closed,131.0,2023-05-17 19:06:25,2023-05-23 06:06:25,Frustrated,True,Slow,Breached,May,2023,2,Wednesday,2,219,34
1352245498,Error Encountered During Data Integration,An unexpected data integration error has arisen while optimizing investments with analytics tools. This might be due to compatibility issues with outdated software versio ... and restarting the systems were unsuccessful.,Incident,Low,Customer Service,Closed,144.0,2024-05-03 14:02:58,2024-05-09 14:02:58,Frustrated,True,Slow,Breached,May,2024,2,Friday,1,220,31
1352245499,Error in Data Analysis,"An error has occurred during the data analysis process, which is affecting the optimization of investments. There is a suspicion that it may be due to software integration issues.",Incident,High,IT Support,Resolved,165.0,2024-01-28 02:06:40,2024-02-03 23:06:40,Neutral,True,Slow,Breached,January,2024,1,Sunday,3,179,29
1352245500,Problems with campaign analytics dashboards,Encountered issues where campaign analytics dashboards are not loading,Incident,High,Product Support,Resolved,36.0,2024-05-17 04:31:13,2024-05-18 16:31:13,Frustrated,True,Medium,Within SLA,May,2024,2,Friday,3,70,9
1352245501,Reported Problems After Financial Firm System Upgrade,"The financial institution experienced multiple outages across various products, which disrupted their investment analytics. The suspected cause is conflicts arising from ... so considering seeking additional assistance.",Incident,High,Service Outages and Maintenance,Closed,24.0,2023-06-30 01:52:13,2023-07-01 01:52:13,Satisfied,True,Fast,Within SLA,June,2023,2,Friday,3,219,27
1352245502,Health Concern,The healthcare provider observed atypical attempts to access medical records.,Problem,Low,Customer Service,Closed,138.0,2024-09-19 20:44:17,2024-09-25 14:44:17,Satisfied,True,Slow,Breached,September,2024,3,Thursday,1,77,10
1352245503,,"Customer Support, inquiring about data analytics services, particularly for optimizing investment strategies. Could you provide details on the types of services that woul ... rd to hearing back soon. Regards, [Your Name]",Request,Medium,Billing and Payments,Closed,125.0,2025-03-10 09:32:19,2025-03-15 14:32:19,Satisfied,True,Slow,Breached,March,2025,1,Monday,2,220,32
1352245504,Concern Regarding Access to Cloud-Based Tools,"Recently, there were intermittent connectivity issues with cloud-based tools that the team has been experiencing. This might have been due to network instability or high ... g this matter to prevent further disruptions.",Problem,Low,IT Support,Resolved,130.0,2023-01-02 18:54:53,2023-01-08 04:54:53,Neutral,True,Slow,Breached,January,2023,1,Monday,1,219,33
1352245505,Problem with Monthly Subscription Being Charged Twice,I was charged twice during my monthly subscription billing cycle. This might have happened due to a system glitch causing overlapping transactions. I have already checked ... additional information to resolve this issue.,Problem,High,Billing and Payments,Resolved,164.0,2025-10-18 15:21:22,2025-10-25 11:21:22,Urgent,True,Slow,Breached,October,2025,4,Saturday,3,220,33
1352245506,Security Incident in Medical Records System,"Customer Support, preparing detailed report on critical issue with the medical records system. A data security breach has been encountered, possibly due to outdated encry ... ovide us with immediate guidance and support.",Problem,High,Technical Support,In Progress,0.0,2025-04-22 21:21:19,,Frustrated,False,Unresolved,Within SLA,April,2025,2,Tuesday,3,220,33
1352245507,Handling Slow Excel Data Processing,"Customer Support, <br>Our financial institution encounters slow data processing when analyzing investments with Excel, especially with large datasets often surpassing 100 ... ready explored initial troubleshooting steps.",Problem,High,Product Support,Pending,0.0,2024-12-18 15:43:35,,Neutral,False,Unresolved,Within SLA,December,2024,4,Wednesday,3,220,27
1352245508,Assistance with Data Analytics Tools for Investment Portfolio Optimization,"Hi there, I hope this message finds you well. I am writing to seek information on data analytics tools that can be utilized to optimize investment portfolios for financia ... have. Thank you for your time and assistance.",Request,High,Technical Support,Closed,134.0,2024-10-03 22:59:10,2024-10-09 12:59:10,Urgent,True,Slow,Breached,October,2024,4,Thursday,3,220,38
1352245509,,"Customer support, I am seeking detailed guidance on how to utilize data analytics tools for investment optimization strategies. Could you provide step-by-step instruction ... stance. I look forward to your response soon.",Request,Medium,Product Support,In Progress,0.0,2023-03-26 04:52:29,,Satisfied,False,Unresolved,Within SLA,March,2023,1,Sunday,2,220,32
1352245510,Security for Medical Data Solutions,Customer Support is seeking guidance on integrating security features to protect medical data within hospital solutions. Could you supply comprehensive details on how you ... t. Please provide the relevant documentation.,Request,High,Technical Support,Closed,158.0,2023-10-19 09:35:02,2023-10-25 23:35:02,Frustrated,True,Slow,Breached,October,2023,4,Thursday,3,220,31
1352245511,Project Information Disappeared Sudden Today,"Hello Customer Support, I am contacting you to report a problem with my project information. During the synchronization process, all my data unexpectedly disappeared. I b ... er information from me to resolve this issue.",Incident,Medium,Customer Service,Closed,12.0,2025-03-16 08:49:17,2025-03-16 20:49:17,Neutral,True,Fast,Within SLA,March,2025,1,Sunday,2,220,35
1352245512,Problem with Uploads Today,"We are facing difficulties with project file uploads in PDFfiller, which might be due to incompatibility with Oracle Database 19c. After clearing the cache, restarting ap ... appreciate any help in resolving this matter.",Incident,Medium,Technical Support,Closed,93.0,2024-07-16 00:06:43,2024-07-19 21:06:43,Satisfied,True,Slow,Breached,July,2024,3,Tuesday,2,220,34
1352245513,Request for Customer Support Assistance,"Dear Customer Support Team, I am reaching out to inquire about billing options and available payment plans for Adobe Sign and Google Cloud Platform services. Could you pl ... extra fees that may apply to these services.",Request,Medium,Billing and Payments,Closed,58.0,2025-08-25 05:28:23,2025-08-27 15:28:23,Neutral,True,Medium,Within SLA,August,2025,3,Monday,2,219,37
1352245514,Support Inquiry for Real-Time Collaboration Features,"Hello, we are interested in integrating real-time collaboration features across our supported platforms to enhance project management efficiency and boost team productivi ... a call at <tel_num> to discuss this further.",Change,Medium,Product Support,Closed,91.0,2025-02-13 09:10:11,2025-02-17 04:10:11,Neutral,True,Slow,Breached,February,2025,1,Thursday,2,219,31
1352245515,Improve Security of Medical Data Systems,It is necessary to update antivirus and VPN settings to guarantee that the hospital's IT networks are safeguarded against potential cyber threats.,Change,Low,Technical Support,Closed,26.0,2025-08-29 12:55:40,2025-08-30 14:55:40,Satisfied,True,Medium,Within SLA,August,2025,3,Friday,1,146,22
1352245516,Issues with Investment Predictions Data,Noted discrepancies in investment predictions using the data analytics tool. This might be due to recent algorithm updates. After restarting the tool and clearing the cac ... ists. Kindly assist in resolving this matter.,Incident,Medium,Product Support,Closed,110.0,2024-11-17 16:28:52,2024-11-22 06:28:52,Neutral,True,Slow,Breached,November,2024,4,Sunday,2,220,34
1352245517,Explore Customization Options for Project Management SaaS Platform,I am interested in exploring the customization options available for the project management SaaS platform. Could you please provide information on the types of customizat ... I look forward to hearing back from you soon.,Request,High,Product Support,Closed,126.0,2023-03-22 04:13:35,2023-03-27 10:13:35,Frustrated,True,Slow,Breached,March,2023,1,Wednesday,3,220,35
1352245518,,"Dear Customer Support, I am reporting an issue with the SaaS platform's report generation. Upon launching the platform, users encounter considerable delays in task loadin ... know if you need any additional information.",Problem,High,Technical Support,Resolved,128.0,2023-11-13 05:12:04,2023-11-18 13:12:04,Satisfied,True,Slow,Breached,November,2023,4,Monday,3,219,33
1352245519,,"Dear Customer Support, we are a marketing agency facing connectivity problems with our Google Nest Wifi Router, which is impacting our online tools and client communicati ... discussion and technician dispatch if needed.",Incident,Low,Customer Service,Closed,41.0,2024-02-19 20:34:41,2024-02-21 13:34:41,Neutral,True,Medium,Within SLA,February,2024,1,Monday,1,220,33
1352245520,,The digital marketing campaigns managed by the agency have been suspended. The first steps taken to troubleshoot included restarting the software and verifying compatibil ... olved. Assistance is needed to fix the issue.,Incident,High,Product Support,Closed,106.0,2025-05-03 04:23:32,2025-05-07 14:23:32,Urgent,True,Slow,Breached,May,2025,2,Saturday,3,220,33
1352245521,Potential Billing Issues Due to Recent Payment Gateway Update,Users have encountered billing problems across various products. Troubleshooting efforts have been undertaken but did not resolve the issue.,Problem,High,Billing and Payments,Closed,90.0,2023-07-23 12:31:37,2023-07-27 06:31:37,Urgent,True,Slow,Breached,July,2023,3,Sunday,3,140,19
1352245522,,"customer support, facing challenges with report issue while uploading project files. During the upload attempt, users encounter an error indicating the file format is inc ... g this issue which is hindering our progress.",Problem,Medium,Customer Service,Pending,0.0,2024-03-23 10:30:17,,Neutral,False,Unresolved,Within SLA,March,2024,1,Saturday,2,220,34
1352245523,Issues with Digital Tools Affecting Brand Growth,"A marketing agency is facing disruptions due to multiple digital tools, which are impacting their brand growth strategies. Recent software updates and network configurati ... lp get brand growth strategies back on track.",Incident,High,Technical Support,Closed,144.0,2024-11-11 14:09:06,2024-11-17 14:09:06,Frustrated,True,Slow,Breached,November,2024,4,Monday,3,220,33
1352245524,Incident on SaaS Platform,An incident happened due to high traffic.,Incident,Low,Customer Service,Closed,94.0,2025-12-20 16:38:52,2025-12-24 14:38:52,Neutral,True,Slow,Breached,December,2025,4,Saturday,1,41,7
1352245525,Upgrade SaaS Platform Integration Features,"Dear Customer Support Team, I am writing to request enhancements in the integration capabilities of our SaaS platform, particularly for webcams and external drives. The c ... or the expected implementation. Additionally,",Change,Low,General Inquiry,Closed,21.0,2025-01-22 23:21:56,2025-01-23 20:21:56,Neutral,True,Fast,Within SLA,January,2025,1,Wednesday,1,220,32
1352245526,Crash Issue with Data Analytics Platform,"Hello Customer Support, I am contacting you to report a problem with our data analytics platform. The Cubase 11 application encountered issues, leading to crashes in our ... our quick response. Best regards, [Your Name]",Incident,Medium,Product Support,Pending,0.0,2023-07-08 15:05:33,,Urgent,False,Unresolved,Within SLA,July,2023,3,Saturday,2,219,35
1352245527,Enhanced Security Measures for Smart-Tracker and Kingston Devices,"Dear Customer Support, I am reaching out to highlight the necessity for improved security protocols on Smart-Tracker and Kingston devices, especially concerning medical d ... immediate attention to this important issue.",Change,High,Customer Service,Closed,35.0,2023-02-14 20:19:50,2023-02-16 07:19:50,Neutral,True,Medium,Within SLA,February,2023,1,Tuesday,3,219,31
1352245528,Guidelines for Securing Patient Data in Hospital Systems,"Could you provide guidelines for securing patient data across our affected hospital systems? We need practices for data encryption, access control, and backup procedures ... egulations and protect sensitive information.",Request,Low,Product Support,Closed,101.0,2025-09-05 16:55:58,2025-09-09 21:55:58,Satisfied,True,Slow,Breached,September,2025,3,Friday,1,219,30
1352245529,Concerns About Digital Marketing Analytics Tools,"Experienced difficulties with digital marketing analytics tools, which has affected the ability to measure campaign effectiveness. This may be due to recent software upda ... in resolving this issue as soon as possible.",Incident,High,Technical Support,Closed,109.0,2025-08-03 20:22:51,2025-08-08 09:22:51,Frustrated,True,Slow,Breached,August,2025,3,Sunday,3,219,33
1352245530,Assistance Required for Marketing Campaigns,The marketing campaigns are underperforming and require enhancement.,Incident,Medium,Product Support,In Progress,0.0,2024-01-07 17:39:21,,Frustrated,False,Unresolved,Within SLA,January,2024,1,Sunday,2,68,8
1352245531,Boost Text Editing Capabilities on Every Device,Enhance your writing experience through Grammarly integration.,Change,High,Technical Support,Closed,79.0,2023-09-04 00:45:57,2023-09-07 07:45:57,Urgent,True,Slow,Breached,September,2023,3,Monday,3,62,7
1352245532,Report on Unauthorized Network Access Event,"Dear Customer Support, I am reporting an unauthorized access incident detected in our network. Multiple devices and applications have been affected, likely due to outdate ... curity and functionality as soon as possible.",Incident,High,Technical Support,Closed,62.0,2024-04-27 17:36:17,2024-04-30 07:36:17,Frustrated,True,Medium,Within SLA,April,2024,2,Saturday,3,220,33
1352245533,Urgent: Strengthen Data Encryption for Medical Records,"Dear support team, it is imperative that we quickly enhance data encryption for medical records on the Smart-Licht and Plex systems. The current security protocols are de ... available to discuss this further if needed.",Change,Medium,Returns and Exchanges,Closed,132.0,2025-05-05 16:46:00,2025-05-11 04:46:00,Neutral,True,Slow,Breached,May,2025,2,Monday,2,219,35
1352245534,Assistance Needed for Data Integration Issue,"A financial organization experienced failures in data synchronization within Vagrant Sage Accounting, which impacted their investment analysis processes. The root cause m ... o resolve this matter as quickly as possible.",Incident,High,Technical Support,Resolved,164.0,2023-01-22 05:49:15,2023-01-29 01:49:15,Satisfied,True,Slow,Breached,January,2023,1,Sunday,3,220,31
1352245535,Issues with Marketing Automation Tools Have Arisen,"The marketing automation tools have stopped functioning properly, leading to the failure of the campaigns. It seems that recent software updates might be causing compatib ... tools, but the problem continues to persist.",Incident,High,Technical Support,Closed,142.0,2025-05-07 21:25:29,2025-05-13 19:25:29,Satisfied,True,Slow,Breached,May,2025,2,Wednesday,3,219,33
1352245536,Problem Encountered With Medical Data Encryption,"An unexpected failure of medical data encryption happened because of an incompatibility with the Adobe Photoshop update. After restarting our Debian servers and reviewing ... cket backups, the issue still isn't resolved.",Incident,Low,Technical Support,Closed,168.0,2024-09-25 18:59:43,2024-10-02 18:59:43,Satisfied,True,Slow,Breached,September,2024,3,Wednesday,1,220,32
